game,contact_score,elapsed_seconds
0,27.2075,0.113875
10000,27.6801,48.1426
20000,27.559,96.5734
30000,27.5289,144.099
40000,26.9348,193.158
50000,27.3447,241.838
60000,26.9366,289.947
70000,27.5236,338.968
80000,27.3519,386.942
90000,26.974,435.557
100000,26.6231,483.073
110000,26.9619,531.145
120000,27.3314,579.999
130000,26.5118,628.226
140000,26.8628,677.487
150000,27.3381,726.26
160000,26.8784,773.831
170000,26.3266,821.826
180000,26.8552,869.367
190000,25.8282,918.425
200000,26.4934,967.556
210000,26.1082,1015.77
220000,26.3685,1064.95
230000,26.0915,1112.72
240000,26.1689,1161.59
250000,25.8865,1209.55
260000,25.682,1258.31
270000,25.6068,1307.12
280000,25.4904,1355.63
290000,25.9212,1405.69
300000,25.6613,1454.74
310000,25.4201,1503.39
320000,25.7419,1552.45
330000,25.7652,1600.72
340000,25.8318,1650.06
350000,25.3618,1699.6
360000,25.3636,1749.68
370000,25.6179,1799.58
380000,25.7202,1847.86
390000,25.3505,1896.98
400000,25.3337,1945.59
410000,25.0132,1995.29
420000,24.7434,2044.34
430000,25.1332,2093.06
440000,24.6565,2142.5
450000,24.7602,2190.74
460000,24.355,2239.35
470000,24.8351,2288.36
480000,25.0451,2337.5
490000,24.7004,2386.39
500000,25.0255,2435.47
510000,24.8151,2486.02
520000,25.1553,2535.79
530000,24.8223,2584.05
540000,25.1209,2633.37
550000,24.7659,2681.69
560000,24.3201,2730.44
570000,24.5261,2779.53
580000,24.3115,2829.56
590000,24.4018,2879.77
600000,24.674,2927.97
610000,24.1758,2977.03
620000,24.0162,3025.22
630000,24.0807,3075.45
640000,24.1194,3125.58
650000,25.1113,3175.19
660000,24.4515,3225.36
670000,24.3021,3274.74
680000,24.3159,3323.83
690000,24.7974,3372.67
700000,24.2462,3422.04
710000,23.7431,3472.28
720000,24.1764,3522.37
730000,24.0329,3573.55
740000,24.1185,3622.82
750000,24.5545,3672.46
760000,23.7136,3721.87
770000,24.2686,3771.57
780000,23.8025,3821.71
790000,23.9891,3871.29
800000,23.8831,3921.67
810000,23.6735,3971.99
820000,23.5637,4021.58
830000,23.5493,4070.71
840000,23.9014,4119.53
850000,23.8676,4169.88
860000,23.6506,4219.72
870000,23.6349,4270.29
880000,23.3033,4320.6
890000,23.4466,4369.84
900000,23.5306,4419.71
910000,23.5811,4467.46
920000,23.6351,4517.37
930000,23.3208,4567.37
940000,23.2723,4617.67
950000,23.5102,4668.5
960000,23.6198,4717.93
970000,23.2939,4768.5
980000,23.0755,4817.3
990000,23.3976,4867.43
1000000,22.7727,4917.72
