game,contact_score,elapsed_seconds
0,219.016,0.0098279
10000,38.8591,57.0215
20000,38.1012,101.19
30000,36.7825,144.911
40000,34.5521,190.813
50000,34.2385,237.179
60000,33.2242,282.45
70000,33.2019,328.54
80000,32.1293,374.255
90000,31.615,421.949
100000,32.2957,470.378
110000,31.0268,518.469
120000,29.8453,567.32
130000,30.2473,615.84
140000,30.3069,663.996
150000,29.4262,711.816
160000,28.9785,760.265
170000,29.2499,808.975
180000,28.5952,858.276
190000,28.6314,907.424
200000,27.2075,957.179
