game,contact_score,elapsed_seconds
0,27.6035,0.0801858
10000,27.6639,51.4831
20000,27.6267,104.066
30000,27.5733,155.948
40000,27.3598,207.724
50000,27.3028,259.746
60000,27.2539,311.81
70000,27.3104,363.301
80000,27.061,414.889
90000,27.0719,466.251
100000,27.0069,517.917
110000,26.7022,569.497
120000,26.8835,621.07
130000,26.8351,672.423
140000,26.7845,723.691
150000,26.5999,775.164
160000,26.4731,826.371
170000,26.4342,877.814
180000,26.4271,928.843
190000,26.4027,980.388
200000,26.3819,1032.18
210000,26.8474,1083.41
220000,26.5892,1134.4
230000,26.7023,1185.51
240000,26.5887,1236.6
250000,26.401,1287.7
260000,26.2613,1338.86
270000,26.2906,1390.29
280000,26.14,1441.53
290000,26.3783,1492.94
300000,26.1129,1543.86
310000,26.3812,1595.37
320000,26.479,1646.47
330000,26.1876,1697.4
340000,26.1217,1748.55
350000,26.285,1799.58
360000,26.3615,1850.56
370000,26.174,1901.58
380000,26.2194,1952.06
390000,26.1133,2003.04
400000,25.9647,2053.69
410000,26.0663,2104.86
420000,26.2005,2155.49
430000,26.0715,2205.95
440000,25.9459,2256.95
450000,25.84,2307.84
460000,25.9596,2359.29
470000,25.7888,2410.23
480000,25.8388,2461.05
490000,25.9375,2512.13
500000,25.7671,2563.14
510000,25.8701,2613.86
520000,25.5321,2665.14
530000,25.427,2716.46
540000,26.0153,2767.96
550000,25.5581,2818.95
560000,25.6829,2870.33
570000,25.4636,2921.45
580000,25.3898,2972.15
590000,25.115,3022.81
600000,25.1857,3074.11
610000,25.1862,3125.04
620000,25.0354,3175.87
630000,25.1116,3226.58
640000,24.988,3276.89
650000,25.1411,3327.84
660000,25.5098,3378.51
670000,25.294,3429.42
680000,25.455,3480.15
690000,25.6868,3530.51
700000,25.4459,3581.35
710000,25.2129,3631.65
720000,25.4881,3682.04
730000,25.4217,3732.66
740000,25.0431,3783.47
750000,25.306,3834.05
760000,25.1951,3884.63
770000,25.0205,3935.46
780000,25.2103,3985.6
790000,25.0069,4036.31
800000,25.0101,4087.42
810000,25.2835,4138.26
820000,24.9709,4188.95
830000,24.9089,4239.45
840000,24.8885,4290.31
850000,24.9867,4341.26
860000,24.9656,4392.27
870000,24.8374,4443.14
880000,24.905,4494.02
890000,25.2516,4545.31
900000,25.0612,4596.32
910000,24.8644,4647.22
920000,24.9521,4698.34
930000,24.9308,4749.48
940000,24.8453,4800.2
950000,24.9631,4851.15
960000,25.0021,4902.11
970000,24.9938,4953.16
980000,24.8468,5003.97
990000,24.869,5055.24
1000000,24.8412,5106.31
1010000,25.0043,5157.97
1020000,24.6302,5209.46
1030000,24.8424,5261.12
1040000,24.7507,5312.03
1050000,24.2857,5362.87
1060000,24.453,5413.95
1070000,24.3368,5465.18
1080000,24.503,5516.11
1090000,24.1137,5567.08
1100000,24.5376,5618.15
1110000,24.6688,5668.79
1120000,24.6081,5719.71
1130000,24.7473,5770.59
1140000,24.4413,5821.58
1150000,24.4465,5872.74
1160000,24.3146,5923.52
1170000,24.4783,5974.12
1180000,24.5473,6025.04
1190000,24.3679,6076.05
1200000,24.6332,6127.05
1210000,24.3957,6177.94
1220000,24.3377,6228.71
1230000,24.3542,6279.99
1240000,24.3148,6330.35
1250000,24.3948,6381.44
1260000,24.3205,6432.86
1270000,24.1401,6483.89
1280000,24.3275,6534.84
1290000,24.1586,6585.66
1300000,23.9986,6636.08
1310000,24.0988,6686.61
1320000,24.0247,6737.62
1330000,24.0935,6788.31
1340000,23.8646,6839.46
1350000,24.2224,6890.19
1360000,23.8856,6941.13
1370000,23.6436,6992.07
1380000,23.7096,7043.33
1390000,23.8315,7094.26
1400000,24.3284,7145.21
1410000,24.165,7195.72
1420000,24.2631,7246.33
1430000,24.155,7297.09
1440000,24.1682,7347.98
1450000,23.9229,7399.12
1460000,24.0326,7450.34
1470000,23.8424,7501.67
1480000,23.8876,7553.08
1490000,23.749,7603.85
1500000,23.5962,7655.02
