game,contact_score,elapsed_seconds
0,153.136,0.0113772
10000,46.2145,62.9527
20000,37.8933,117.488
30000,35.8861,171.128
40000,34.3793,225.257
50000,32.3384,279.039
60000,31.5459,332.784
70000,31.0379,387.946
80000,31.6056,441.58
90000,30.6742,494.558
100000,30.9575,546.594
110000,29.837,600.799
120000,29.1009,655.574
130000,29.3583,709.981
140000,28.7646,762.925
150000,28.9703,817.173
160000,28.3871,870.621
170000,28.9115,923.44
180000,29.4352,976.497
190000,28.1756,1030.4
200000,28.1915,1083.4
210000,28.3362,1136.29
220000,28.5899,1189.49
230000,28.9213,1242.76
240000,27.8055,1295.8
250000,27.7928,1349.31
260000,28.454,1402.09
270000,28.176,1455.88
280000,27.3625,1509.64
290000,27.3257,1562.86
300000,27.6035,1615.53
